frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
23,4.74912379447703301e-2,-8.18076903461890659e-2,1.88962414980675453e-1,0.00000000000000000e0,3.33085770982963313e-16,5.72195849815279681e-17,Nominal
24,-3.96796935817116739e-2,8.68368633328651107e-2,9.90386215761237421e-1,0.00000000000000000e0,3.51119599624284826e-16,9.83184276968359941e-17,Nominal
25,9.80763502669628640e-1,7.97948466758312991e-1,7.51742922997684304e-1,1.11022302462515654e-16,3.14059039414147464e-16,3.25325408309187180e-16,Nominal
26,9.58413948774399893e-1,4.60189239030768027e-1,1.94362785304420971e-1,0.00000000000000000e0,5.08771595107226797e-16,2.48226518737555944e-16,Nominal
27,4.58338698017643209e-2,-5.35676364581068265e-1,6.67969105552433939e-2,1.11022302462515654e-16,1.11072901150875553e-16,2.93683612447814447e-16,Nominal
28,2.59987960395331695e-2,-9.92896285641196696e-1,8.21342095808805794e-2,0.00000000000000000e0,4.57777428384188223e-16,4.56087141149048377e-17,Nominal
29,-1.02048831676611728e-2,-9.62895096483314283e-1,2.45192748208015177e-2,0.00000000000000000e0,1.57026940665453816e-16,3.69068280019818616e-16,Nominal
30,-2.93179947879528835e-2,-2.88545015396194371e-1,5.06996168599969987e-1,0.00000000000000000e0,4.00356419309392919e-16,5.93113093266774080e-17,Nominal
31,5.95433490470476112e-3,-4.48737266219797704e-1,7.48649396466762873e-2,0.00000000000000000e0,6.66154443237258137e-16,8.64059477121722488e-17,Nominal
32,-2.80810646694979911e-2,-8.19474135436174311e-1,1.91495219799042715e-3,1.11022302462515654e-16,5.08863548719840173e-16,5.39899240409609513e-16,Nominal
33,-4.31983931278853844e-2,-8.22943898932943840e-1,1.54226188720175239e-1,0.00000000000000000e0,2.48292364780998512e-16,3.16281825429132740e-16,Nominal
34,-3.80743193988546530e-2,-3.33096370221024340e-2,5.20330793102247835e-1,1.11022302462515654e-16,3.33074329872204253e-16,1.69967494438814779e-17,Nominal
35,4.53811376325204754e-2,-4.71921986746928868e-1,1.03398368126034867e-1,0.00000000000000000e0,2.22126500555425487e-16,4.56519929930105342e-17,Nominal
36,1.33991902743134453e-2,1.62233757783588839e-1,3.97081155139433761e-1,1.11022302462515654e-16,1.11187456926179326e-16,9.03392877659462954e-17,Nominal
37,5.87010156759707521e-3,-1.42493379965704881e-1,1.07485376119884291e-1,0.00000000000000000e0,3.84621389241788335e-16,3.64291929955129490e-17,Nominal
38,-2.14518011033636678e-2,-4.30962151964409346e-1,3.88439564132303516e-3,0.00000000000000000e0,2.48305921566709293e-16,2.71833161340838215e-16,Nominal
39,3.91726445023719838e-2,-2.14665485737892014e-1,7.29053451500636274e-1,0.00000000000000000e0,3.14026764524390670e-16,1.17973950996547891e-16,Nominal
40,1.00444025739260390e0,8.98100319642172851e-1,8.94609879088339000e-1,2.22044604925031308e-16,4.96560247462515284e-16,2.48356428816608909e-16,Nominal
41,1.01661243120696421e0,-9.06135656647213183e-1,1.54485713793262036e-2,0.00000000000000000e0,2.22321848367971174e-16,4.25505374635545404e-16,Nominal
42,-7.03363329538898591e-3,-8.05567164573557593e-1,8.54057439920904438e-2,0.00000000000000000e0,2.22089976936295311e-16,2.79026375100731308e-16,Nominal
43,-4.12589114705368340e-2,8.04319814137886002e-2,2.18835361828711550e-1,0.00000000000000000e0,4.57829456071371210e-16,1.39421654570456316e-16,Nominal
44,-7.24814927306753967e-3,-1.62109758908575152e-1,1.18260684606227273e0,1.11022302462515654e-16,3.14202353105297733e-16,9.36268685394317144e-17,Nominal
45,9.58948695562887421e-1,-9.77043992631022817e-1,1.09420051727142198e-1,0.00000000000000000e0,3.14122061482380267e-16,1.65195413169693373e-16,Nominal
46,3.00155279208019002e-2,-7.86848895479197452e-4,8.85416738764891464e-2,0.00000000000000000e0,3.33121828892814534e-16,7.60836508760216825e-17,Nominal
47,2.26729282909000976e-2,1.34131330582006214e-1,9.95052299329724499e-1,1.11022302462515654e-16,2.48393012939581379e-16,1.39497009294666764e-16,Nominal
48,1.04630047387078329e0,-8.87991201515514250e-1,2.26430464864273207e-1,1.11022302462515654e-16,5.08845547427008069e-16,3.32397661321509220e-16,Nominal
