frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
26,3.39002200082828997e-1,-1.31759157127145032e-1,1.11398353092388214e-1,1.11022302462515654e-16,3.33121113085259184e-16,1.67110694432208381e-16,Nominal
27,8.68368633328651107e-2,-4.56497765888104423e-1,1.35353924210956467e0,0.00000000000000000e0,3.33069166134413940e-16,2.24202523510568107e-16,Nominal
28,-4.41765184124448762e-1,7.97948466758312991e-1,2.91896179063138472e-1,0.00000000000000000e0,2.48263264050263701e-16,3.82647127288366852e-16,Nominal
29,-3.84729946607428097e-1,5.19411111012139548e-1,5.32366085178381354e-1,0.00000000000000000e0,2.22143685673952984e-16,1.79407648096650775e-16,Nominal
30,1.79282420103828333e-1,-8.31721024512002804e-1,8.33695744464500343e-1,0.00000000000000000e0,5.97896045369187825e-16,1.51070413519619195e-16,Nominal
31,-3.34210087681714452e-1,-2.48265421194601599e-1,2.48463415538906496e-1,1.11022302462515654e-16,3.14032866033542409e-16,3.70711665036564106e-16,Nominal
32,-4.16735528348928463e-1,2.26764447778403655e-1,6.98784997808609476e-1,2.22044604925031308e-16,3.14023283242126146e-16,2.42464454203952065e-16,Nominal
33,5.50571215980757644e-1,-1.18498389283870686e-1,1.42717235322291391e0,0.00000000000000000e0,3.33159503451778989e-16,6.54613941668033769e-17,Nominal
34,9.83261739633292109e-1,-1.70670858202841558e-1,2.32514878577408601e-1,0.00000000000000000e0,5.55111512312578270e-16,5.96906223549092027e-17,Nominal
35,-3.83455037696568191e-1,8.56973668391984855e-2,2.64913473394671639e-1,1.11022302462515654e-16,2.22088646270607288e-16,1.82401863447963427e-16,Nominal
36,-8.19474135436174311e-1,-1.81395081309017492e-1,2.15976837810293865e-1,0.00000000000000000e0,2.22136065646886024e-16,1.19582732186027703e-16,Nominal
37,1.20696724669278055e-1,-8.22943898932943840e-1,1.74711449610320924e-1,1.11022302462515654e-16,2.48262506469862888e-16,2.92587740734318224e-16,Nominal
38,-8.63967862557707633e-1,-4.57254835431653017e-1,2.30178791176210318e-1,0.00000000000000000e0,4.57822825357458116e-16,1.43048962453819920e-17,Nominal
39,8.14824684528870913e-1,-7.61486387977093004e-1,2.90005501472521021e-1,0.00000000000000000e0,4.00315515237989015e-16,3.97308486024196077e-16,Nominal
40,-6.53599268056117788e-1,-8.76618661217416939e-1,1.63353574672480129e-2,1.11022302462515654e-16,2.22064932785272419e-16,2.95534977588036367e-16,Nominal
41,-2.46524886213809413e-1,6.58383963632074298e-2,3.75873320122209753e-1,0.00000000000000000e0,4.57764897205078999e-16,7.38837443970090918e-17,Nominal
42,-2.98609359001669628e-1,6.25593876458865994e-1,2.02635914212515478e-1,1.11022302462515654e-16,2.22107276518669479e-16,1.80677924930976681e-16,Nominal
43,6.52196234276905207e-1,-1.90325408964500786e-1,2.48844196948325824e-1,1.11022302462515654e-16,3.14078979127933748e-16,3.05178241588114148e-16,Nominal
44,-7.40849633588765988e-1,8.88031929556149846e-1,1.47609925849954249e-1,0.00000000000000000e0,3.14080775604973707e-16,7.14402852221782181e-17,Nominal
45,8.98100319642172851e-1,4.65103875550223256e-1,4.21762568777979019e-1,0.00000000000000000e0,3.84725531719998109e-16,1.59859498021795364e-16,Nominal
46,-5.13560011206360967e-1,-9.06135656647213183e-1,3.30576055633866273e-1,0.00000000000000000e0,3.14064008086311093e-16,1.88279441360116528e-16,Nominal
47,3.32248624139283910e-1,-9.08822539521647599e-2,1.45619657887740850e0,0.00000000000000000e0,2.48447287603650278e-16,3.33644647470302183e-16,Nominal
48,-7.44629395070891764e-1,-1.40672665907779715e-1,4.52935252403230737e-1,1.11022302462515654e-16,7.04648007012958422e-18,8.07904508723021450e-17,Nominal
49,4.64824223418748073e-1,6.90335969915181202e-1,7.03099756562303391e-1,0.00000000000000000e0,1.11137439241473444e-16,1.61767033475184828e-16,Nominal
50,-4.52910739179235522e-1,-6.57497441377203895e-1,5.00454516680717942e-1,0.00000000000000000e0,6.75367974347635635e-16,2.11948852209282503e-16,Nominal
51,1.30684134035705890e-1,-6.12838417072237629e-1,1.41788788847810765e-1,1.11022302462515654e-16,3.14037657319594215e-16,1.84850461096716094e-16,Nominal
